Pay Scale Description,Scale Point,Annual Rate
PRESIDENT
PRESIDENT,1, 240716 
VICE PRESIDENT
VICE PRESIDENT,1,184171
ACADEMIC
FULL PROFESSOR,6,177078
FULL PROFESSOR,5,148055
FULL PROFESSOR,4,172016
FULL PROFESSOR,3,156042  
FULL PROFESSOR,2,148055
FULL PROFESSOR,1,140068
PROFESSOR,6,135598
PROFESSOR,5,128770 
PROFESSOR,4,121935 
PROFESSOR,3,115107 
PROFESSOR,2,108276 
PROFESSOR,1,101447 
ASSOCIATE PROFESSOR A,9,115395
ASSOCIATE PROFESSOR A,8,111916
ASSOCIATE PROFESSOR A,7,108430
ASSOCIATE PROFESSOR A,6,104948
ASSOCIATE PROFESSOR A,5,101461
ASSOCIATE PROFESSOR A,4,97988
ASSOCIATE PROFESSOR A,3,94492
ASSOCIATE PROFESSOR A,2,91018
ASSOCIATE PROFESSOR A,1,87548
ASSOCIATE PROFESSOR B,9,99471
ASSOCIATE PROFESSOR B,8,95514
ASSOCIATE PROFESSOR B,7,91563
ASSOCIATE PROFESSOR B,6,87604
ASSOCIATE PROFESSOR B,5,83634
ASSOCIATE PROFESSOR B,4,79703
ASSOCIATE PROFESSOR B,3,77006
ASSOCIATE PROFESSOR B,2,73093
ASSOCIATE PROFESSOR B,1,62069
ASSISTANT PROFESSOR,10,63965
ASSISTANT PROFESSOR,9,62314
ASSISTANT PROFESSOR,8,60654
ASSISTANT PROFESSOR,7,58990
ASSISTANT PROFESSOR,6,57323
ASSISTANT PROFESSOR,5,55689
ASSISTANT PROFESSOR,4,53644
ASSISTANT PROFESSOR,3,51767
ASSISTANT PROFESSOR,2,49543
ASSISTANT PROFESSOR,1,46955
TEACHING ASSISTANT,2,40061
TEACHING ASSISTANT,1,37010
ADMINISTRATIVE
SENIOR ADMINISTRATIVE OFFICER III,6,142758
SENIOR ADMINISTRATIVE OFFICER III,5,135565
SENIOR ADMINISTRATIVE OFFICER III,4,128369
SENIOR ADMINISTRATIVE OFFICER III,3,121181
SENIOR ADMINISTRATIVE OFFICER III,2,113990
SENIOR ADMINISTRATIVE OFFICER III,1,106800
SENIOR ADMINISTRATIVE OFFICER II,9,125140
SENIOR ADMINISTRATIVE OFFICER II,8,121368
SENIOR ADMINISTRATIVE OFFICER II,7,117589
SENIOR ADMINISTRATIVE OFFICER II,6,113810
SENIOR ADMINISTRATIVE OFFICER II,5,110030
SENIOR ADMINISTRATIVE OFFICER II,4,106270
SENIOR ADMINISTRATIVE OFFICER II,3,102487
SENIOR ADMINISTRATIVE OFFICER II,2,98703
SENIOR ADMINISTRATIVE OFFICER II,1,94941
SENIOR ADMINISTRATIVE OFFICER I,12,107875
SENIOR ADMINISTRATIVE OFFICER I,11,103583
SENIOR ADMINISTRATIVE OFFICER I,10,99296
SENIOR ADMINISTRATIVE OFFICER I,9,95004
SENIOR ADMINISTRATIVE OFFICER I,8,90697
SENIOR ADMINISTRATIVE OFFICER I,7,86389
SENIOR ADMINISTRATIVE OFFICER I,6,82103
SENIOR ADMINISTRATIVE OFFICER I,5,79088
SENIOR ADMINISTRATIVE OFFICER I,4,75725
SENIOR ADMINISTRATIVE OFFICER I,3,72480
SENIOR ADMINISTRATIVE OFFICER I,2,69712
SENIOR ADMINISTRATIVE OFFICER I,1,67132
SENIOR EXECUTIVE ADMINISTRATOR,11,83397
SENIOR EXECUTIVE ADMINISTRATOR,10,79691
SENIOR EXECUTIVE ADMINISTRATOR,9,77291
SENIOR EXECUTIVE ADMINISTRATOR,8,72779
SENIOR EXECUTIVE ADMINISTRATOR,7,68510
SENIOR EXECUTIVE ADMINISTRATOR,6,66317
SENIOR EXECUTIVE ADMINISTRATOR,5,64776
SENIOR EXECUTIVE ADMINISTRATOR,4,63240
SENIOR EXECUTIVE ADMINISTRATOR,3,61704
SENIOR EXECUTIVE ADMINISTRATOR,2,60174
SENIOR EXECUTIVE ADMINISTRATOR,1,58657
EXECUTIVE ADMINISTRATOR,11,64409
EXECUTIVE ADMINISTRATOR,10,62840
EXECUTIVE ADMINISTRATOR,9,61263
EXECUTIVE ADMINISTRATOR,8,59557
EXECUTIVE ADMINISTRATOR,7,57462
EXECUTIVE ADMINISTRATOR,6,55306
EXECUTIVE ADMINISTRATOR,5,53218
EXECUTIVE ADMINISTRATOR,4,51268
EXECUTIVE ADMINISTRATOR,3,49360
EXECUTIVE ADMINISTRATOR,2,47050
EXECUTIVE ADMINISTRATOR,1,44752
SENIOR ADMINISTRATOR,12,53265
SENIOR ADMINISTRATOR,11,51944
SENIOR ADMINISTRATOR,10,50660
SENIOR ADMINISTRATOR,9,49613
